site_id,device_id,cookie_id,data_installed,channel,source,medium,campaign,platform,country,area,city,ip,device_brand,device_model,os_version,is_his_install,active_in_8_14_label,active_in_8_14_probability,active_in_84_90_label,active_in_84_90_probability,activity_half_reduced_8_14_label,activity_half_reduced_8_14_probability
600,C1AEBAC0-3732-4C81-A315-10BCD98F4F0A,JAF3EDB3-07BE-4018-AEA0-067494CE245D,20180502,snapchat,snapchat_int,CPI,app_snap_sa_ios_zj_female1_display_cpi_0418_2,ios,SA,GCC1,Saihat,51.36.59.150,0,0,11.2.6,0,0,0.18316220625744598,0,0.0018783668901585088,1,0.816837793742554
600,D0C3C9A5-32A7-4DA1-8D63-104969BA378B,JAFB5053-0170-4D2C-8BE1-41E87379FCA8,20180412,Twitter包屏,Twitter,CPI,Jollychic_SA_Trend_VideoCard_20180411 - Saudi Arabia,ios,SA,GCC1,Alghat,95.184.42.191,0,0,11.2.5,0,0,0.5491006375282054,0,0.030320987654320987,1,0.4508993624717947
600,0,JAFCB40D-7653-4ED3-A212-0EE1B99C8F0B,20180419,DSP 代投,applovin_int,CPI,JollyChic_iOS_CPI_kw_44e2b96bdc4e565b327e610d04a2a31d,ios,KW,GCC2,Kuwait,94.128.84.186,0,0,10.3.3,0,0,0.36221041007895016,0,0.007698785466591675,1,0.63778958992105
600,0BF4820F-6856-4590-966B-A1A52F87A2E3,JAFF865D-3A3D-417B-8BAD-88F06402B485,20180601,DSP 代投,iconpeak_int,CPI,10261,ios,AE,GCC2,Jebel Dhanna,94.59.62.6,0,0,10.0.3,0,0,0.22710177720519562,0,0.0018512942705543323,1,0.7728982227948044
600,07A859FA-2B1A-48DC-BD18-B96BC3B6B936,JB038F00-09EB-4074-B8A4-F3374F22893E,20180426,organic,Organic,None,0,ios,KW,GCC2,Jalib Ash Shuyukh,94.128.53.3,0,0,10.3.3,0,0,0.5538462242467359,0,0.1856679893985854,1,0.44615377575326426
600,965E0043-0D16-4359-B84B-366481682821,JB0792F6-A510-44AA-BC42-F6D28563D57C,20180428,snapchat,snapchat_int,CPI,app_snap_sa_ios_zj_female1_display_cpi_0418,ios,SA,GCC1,Tabuk,37.42.187.250,0,0,11.3,0,1,0.5408211760000703,0,0.11777675498845822,0,0.45917882399992954
600,136C4C8B-3DFB-4060-8FD6-D9EE50791C3A,JB09F859-F80A-456E-9434-BB3DD15922F3,20180505,Google 手动,googleadwords_int,CPI,935088404_app_nska_ios_display_uac2_cv_0922,ios,JO,GCC1,Amman,46.32.114.168,0,0,11.2.6,0,1,0.070008009399212,0,0.0016827975589923357,0,0.9299919906007876
600,8CE5A4AB-5445-4C0A-8F82-B5B402DDDEC9,JB127AAA-D447-44B5-A4E7-A1B633AE1787,20180518,organic,Organic,None,0,ios,SA,GCC1,Al-Madinah,94.99.110.33,0,0,11.3.1,0,1,0.8199627839136662,0,0.513026853005365,0,0.18003721608633375
600,0F8A3FAE-5DCD-481F-93BE-EA3CB617AF0A,JB12DF3F-84B1-4FE3-A1F2-E25A54E7C793,20180411,Twitter 智能,Twitter,CPI,twitterauto_18ce54md5fm_male_iso_iphone_twitter_sa_en_20180403204050450859,ios,SA,GCC1,Sakakah,51.39.62.50,0,0,11.2.6,0,1,0.8466050928651461,0,0.0,0,0.15339490713485382
600,49B944DB-3250-45D3-8725-353F537CFA88,JB13511D-20A1-472A-B077-8E977AA814F4,20180528,organic,Organic,None,0,ios,SA,GCC1,Hafar Al-Batin,37.125.52.222,0,0,11.2.5,0,1,0.3839449170876833,0,0.0,0,0.6160550829123167
600,0F7E4631-A894-4EDA-85E8-58E9D97BA033,JB1DAA26-786B-48D8-BC56-6216DE2C8630,20180521,Media Buy 代投,Facebook Ads,CPI,Chansenhk_jollymb_GCC_OM_IOS_M_cc_20180519_t2314_1262_0_,ios,OM,GCC1,Bawshar,5.37.193.127,0,0,11.3.1,0,0,0.22758275178296633,0,0.03966057129359109,1,0.7724172482170336
600,D6AF21F6-AE37-472D-ADD6-88E95113D7E7,JB1FFF38-5DBF-4517-BD04-6DB7BFB77236,20180505,organic,Organic,None,0,ios,QA,GCC2,Muaither North,37.210.68.173,0,0,11.0.3,0,0,0.3687838967990677,0,0.0019047619047619048,1,0.6312161032009326
600,ED738C0A-13C1-49D7-921F-095AC7169E4C,JB255197-DAA2-4427-A5C5-CD3CFC7C461A,20180423,Google 手动,googleadwords_int,CPI,970853433_app_me_ios_display_entxt_uac_1101,ios,SA,GCC1,Khafji,37.106.2.26,0,0,11.3,0,1,0.8335770404536683,0,0.1352328191825545,0,0.16642295954633185
600,8E755E30-2FEC-4536-BC32-4749F2BB4238,JB2C5E90-EF89-4F29-9EA8-C00420305D72,20180509,DSP 代投,mobvista_int,CPI,jollychic_ios_sa_mob77b23d7b4ceb4979,ios,SA,GCC1,Jiddah,46.184.88.44,0,0,10.2.1,0,0,0.07160773460748221,0,0.0020081389706502143,1,0.9283922653925175
600,7A29A6E6-56E7-4666-9739-7E50EDC6A132,JB2CCAE4-D76D-4D77-BD1E-25B741E703C8,20180515,Google 手动,googleadwords_int,CPI,1129102248_app_sqku_ios_men_en_uac_0314,ios,SA,GCC1,Al-Qasab,5.156.151.185,0,0,11.1.2,0,0,0.28890681716501243,0,0.003781421295032078,1,0.7110931828349876
600,0B303AD0-5A1C-460E-82E4-1A2CAF09BA27,JB4B528C-29E3-4ED3-9D59-733F5CB20DDD,20180408,organic,Organic,None,0,ios,SA,GCC1,Riyadh,94.99.147.51,0,0,9.3.4,0,0,0.2537193520031192,0,0.07764847552155581,1,0.7462806479968809
